preprocess,feature_selection,percentage_selection,C_selection,kernel_selection,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.7, 2000, rbf, 0.9171554408754222, 0.9919510379440822, 0.9174491728318799, 0.9170909090909092, 0.9933683595505414
 standardize, PCA, 0.7, 5000, rbf, 0.9182668519781849, 0.992039299197392, 0.9160166266851201, 0.9207272727272727, 0.9936284746318433
 standardize, PCA, 0.7, 10000, rbf, 0.9202151656973945, 0.9922158123567779, 0.9162716020199572, 0.9243636363636363, 0.9938482714079943
 standardize, PCA, 0.8, 2000, rbf, 0.9172495078581585, 0.9919686839632551, 0.9184101988280693, 0.9163636363636364, 0.9937353685228831
 standardize, PCA, 0.8, 5000, rbf, 0.9185047602385579, 0.9920569498901817, 0.9153971725290256, 0.9218181818181819, 0.9936020201563037
 standardize, PCA, 0.8, 10000, rbf, 0.9193421328316005, 0.9921099004106786, 0.9127670038974299, 0.9261818181818182, 0.9939466416394515
 standardize, PCA, 0.9, 2000, rbf, 0.9186401216303868, 0.992092238812783, 0.9182422651937339, 0.9192727272727274, 0.994886730148391
 standardize, PCA, 0.9, 5000, rbf, 0.9215846286366958, 0.9923393640905613, 0.9164930934839914, 0.9269090909090909, 0.994806856300624
 standardize, PCA, 0.9, 10000, rbf, 0.9213312819983169, 0.9923040704943432, 0.9153120109907629, 0.9276363636363637, 0.9945206808549157
 standardize, ANOVA, 0.7, 2000, rbf, 0.9254323029358986, 0.9927453487191913, 0.9233645372786767, 0.9276363636363636, 0.9948085568460933
 standardize, ANOVA, 0.7, 5000, rbf, 0.9254317346248829, 0.9927453456034468, 0.9237605196888629, 0.9272727272727271, 0.9949492817951235
 standardize, ANOVA, 0.7, 10000, rbf, 0.9238383729915345, 0.9925688433491668, 0.9194354305100612, 0.9283636363636363, 0.9948832037143486
 standardize, ANOVA, 0.8, 2000, rbf, 0.9254323029358986, 0.9927453487191913, 0.9233645372786767, 0.9276363636363636, 0.9948085568460933
 standardize, ANOVA, 0.8, 5000, rbf, 0.9254317346248829, 0.9927453456034468, 0.9237605196888629, 0.9272727272727271, 0.9949492817951235
 standardize, ANOVA, 0.8, 10000, rbf, 0.9238383729915345, 0.9925688433491668, 0.9194354305100612, 0.9283636363636363, 0.9948832037143486
 standardize, ANOVA, 0.9, 2000, rbf, 0.9254323029358986, 0.9927453487191913, 0.9233645372786767, 0.9276363636363636, 0.9948085905754656
 standardize, ANOVA, 0.9, 5000, rbf, 0.9254317346248829, 0.9927453456034468, 0.9237605196888629, 0.9272727272727271, 0.9949493155244957
 standardize, ANOVA, 0.9, 10000, rbf, 0.9238383729915345, 0.9925688433491668, 0.9194354305100612, 0.9283636363636363, 0.9948831362556039
